CharacterType	Lv	Hp	HitRate	Damage	DamageDelay	Income	RecoverHp	WalkSpeed	RunSpeed
//角色工种	等级	血量	命中率	伤害	伤害间隔（延迟）	收益（砍树、种田）	回血量(建筑修理，兵种回血)	行走速度	奔跑速度
F_Hammerman	1	1				1	10	2	4
F_Hammerman	2	1				2	20	2	4
F_Bowman	1	20	60	5	7			2.2	4
F_Bowman	2	25	70	8	6			2.2	4
F_Bowman	3	30	80	10	6			2.2	4
F_Bowman	4	40	90	12	5			2.2	4
F_Farmer	1	1				3		2	4
F_Farmer	2	1				4		2	4
F_NearWarriorA	1	50		5	7			2	4
F_NearWarriorA	2	80		8	7			2	4
F_NearWarriorA	3	100		12	6			2	4
F_NearWarriorA	4	140		15	5			2	4
F_Knight	1	100		8	9		10	2	4
F_Knight	2	200		10	8		20	2	4
F_Knight	3	300		12	8		30	2	4
F_Knight	4	400		15	7		40	2	4
